outcome,label,beta,se,p,ci_lo,ci_hi,n,cohen_d,y_sd
qn1101,County govt eval (1-5),-0.010107817985610303,0.010705314300661671,0.3450778047899137,-0.031090257998119573,0.010874622026898966,62139,-0.010824902519452822,0.9337560285135237
qn12012,Life satisfaction (1-5),-0.002149414377296922,0.005749736198686483,0.7085332603349253,-0.013418902278636074,0.00912007352404223,64458,-0.0020292464510922345,1.0592180048608721
health,Self-rated health (1-5),-0.002864513416853984,0.007764872837449341,0.7121984911392114,-0.018083668258994913,0.012354641425286946,65049,-0.00224668711712664,1.2749943661570027
