event_time,att_bar,se_bar,z,p,ci_lo,ci_hi
-3,-0.02929927253414234,0.07436695743010663,-0.3939824022204902,0.6935940316644797,-0.17505850909715132,0.11645996402886664
-2,0.018048912971974716,0.100504171008061,0.1795837206649572,0.8574793859224321,-0.17893926220382483,0.21503708814777428
-1,0.0,0.0,0.0,,0.0,0.0
0,-0.018535065508785687,0.11664483518313855,-0.15890172487864254,0.8737463017068019,-0.24715894246773726,0.21008881145016586
1,-0.052229414230407875,0.13929429296593845,-0.3749573160415086,0.7076922114033861,-0.32524622844364726,0.22078739998283148
2,-0.0522418801894658,0.15705530394816902,-0.33263365754719454,0.739410833720419,-0.36007027592787705,0.25558651554894546
3,-0.07424803397498132,0.1708211387602008,-0.4346536647271209,0.6638138358507062,-0.4090574659449749,0.26056139799501227
